journey,step_id,phase,actor,action,type
interpretazione_musicale,3,Organizzazione,[ISTO],Pubblicazione regolamento della sezione e/o sottosezione,common
interpretazione_musicale,4,Organizzazione,[ISTO],Proposta di commissione giudicatrice,common
interpretazione_musicale,5,Organizzazione,[MIN],Nomina le commissioni giudicatrici,common
interpretazione_musicale,6,Adesione,[IST],Invia richiesta di adesione all'Istituzione Organizzatrice,common
interpretazione_musicale,7,Adesione,[IST],Pubblicazione interna del bando e avvio procedure preselettive interne,common
interpretazione_musicale,8,Candidatura,[STU],Modulo di iscrizione e produzione materiale da candidare per la preselezione nella propria Istituzione,common
interpretazione_musicale,9,Candidatura,[IST],Selezione delle candidature e invio all'Istituzione Organizzatrice,common
interpretazione_musicale,10,Preselezione,[ISTO],Organizzazione delle prove selettive,common
interpretazione_musicale,11,Preselezione,[GIU],Valutazione remota dei video per preselezione,specific
interpretazione_musicale,12,Preselezione,[ISTO],Pubblicazione elenco ammessi e invio convocazioni per le prove in presenza,specific
interpretazione_musicale,13,Selezione,[ISTO],Allestimento spazi e coordinamento risorse tecniche,common
interpretazione_musicale,14,Selezione,[STU],"Arrivo in sede, prove acustiche o con orchestra",specific
interpretazione_musicale,15,Selezione,[STU],Sorteggio pubblico e performance live (Semifinale/Finale) davanti alla giuria,specific
interpretazione_musicale,16,Selezione,[GIU],"Valutazione delle performance, delle esecuzioni o dei progetti in mostra",common
interpretazione_musicale,17,Selezione,[GIU],Proclamazione Vincitore Unico,common
interpretazione_musicale,18,Premiazione,[ISTO],"Cerimonia di premiazione, Concerto di Gala o Inaugurazione Mostra",common
interpretazione_musicale,19,Premiazione,[STU],"Fruizione premi accessori (borse studio, concerti premio, produzioni)",common
interpretazione_musicale,20,Chiusura,[ISTO],Rendicontazione spese al Ministero entro 60 giorni,common
